fetched_date,platform,video_id,title,channel_or_user,url,views,likes,comments,published_at,duration_seconds,thumbnail_url,description_snippet
2026-03-17,YouTube,QgG5ILByOfQ,Bgmi now ! rank push wo kya hai !🤪 MY TALKING TOM 2 LIVE #talkingtom #livestream #bgmi,SILENT IsLive,https://www.youtube.com/watch?v=QgG5ILByOfQ,117113,1423,0,2026-03-17T00:08:14Z,12217,https://i.ytimg.com/vi/QgG5ILByOfQ/hqdefault.jpg,"#shorts #talkingtom #livestream #bgmi 

Bgmi now ! rank push wo kya hai !🤪 MY TALKING TOM 2 LIVE

CAN WE MAKE TOM LOSE IT?! JOIN US AS WE TRY TO MAKE TOM DO THE CRAZIEST THINGS! DON'T MISS THE HILARIO"
2026-03-17,YouTube,wRnXNggU9qM,“🔥 BGMI NEW 4.2 UPDATE CLASSIC EXPLORE AND TDM ROOMS🔥 |  #bgmi #short #bgmilive #1v1room,Neptune is live ,https://www.youtube.com/watch?v=wRnXNggU9qM,23315,363,0,2026-03-17T01:09:01Z,19440,https://i.ytimg.com/vi/wRnXNggU9qM/hqdefault.jpg,"🗣 FOLLOW ME ON 
 
WHATSAPP = https://chat.whatsapp.com/Fj9vn0EMlHQ99BbdYyAdbT
INSTAGRAM 📷 = https://www.instagram.com/stymphalist._?igsh=MWU0dW9yNXFzbTdkaw==&utm_source=ig_contact_invite


YOUTUBE ▶ ="
2026-03-17,YouTube,ySW86vm5jJA,🥶NEW ROYAL PASS IS HERE😎 | BGMI LIVE🔴,Mayur Gaming React,https://www.youtube.com/watch?v=ySW86vm5jJA,21708,1466,0,2026-03-17T02:05:48Z,0,https://i.ytimg.com/vi/ySW86vm5jJA/hqdefault_live.jpg,"#shortslive #bgmi #pubgm #shorts 

TAGS-  BGMI Live, BGMI live Gameplay, Live Gamer, Live Gameplay, Live Streaming, PUBG Mobile Live, BGMI Gameplay, Live BGMI

😎Maintaining 20KD! - BGMI with  ⁨@LoLzZz"
2026-03-17,YouTube,NFx35MieKBw,Ooo eee aaa uuu |TEAMCODES |BGMI WITH PIU PIU |#bgmi #girlgamer #facecamlive #live #shorts,Piu Piu Gaming,https://www.youtube.com/watch?v=NFx35MieKBw,20517,1081,0,2026-03-17T00:31:31Z,31541,https://i.ytimg.com/vi/NFx35MieKBw/hqdefault.jpg,#bgmifacecamgameplay #piupiuislive   #piupiu  #girlgamer #pubg #facecam #shortsfeed #shorts #live #recommend #teamcode #giveaway #bgmi #pubgmobile #girlgamer #shortsfeed #viral #shorts #trending #shor
2026-03-17,YouTube,201HZKScZaI,💀Open Custom Room – Join Fast! Limited Slots | BGMI | PUBG LIVE,Jia plays,https://www.youtube.com/watch?v=201HZKScZaI,19820,1546,0,2026-03-17T03:21:02Z,15620,https://i.ytimg.com/vi/201HZKScZaI/hqdefault.jpg,"Welcome to Jia Plays LIVE ❤️

Today we are playing PUBG Mobile / BGMI live with subscribers!
🔥 Rank Push
🔥 Intense Clutches
🔥 Custom Rooms
🔥 Asia Server Gameplay

Goal: Road to 100K Subscribers 👑

If "
2026-03-17,YouTube,4CsL1mS1YK0,🔴BGMI HOJYE ? ❤️🥰💗 #bgmi #bgmilive 💗,Miss Senorita,https://www.youtube.com/watch?v=4CsL1mS1YK0,12330,339,0,2026-03-17T01:35:46Z,13681,https://i.ytimg.com/vi/4CsL1mS1YK0/hqdefault.jpg,"https://www.youtube.com/channel/UCHjhEGwR8DG8MxhY8FdVWoA/join
 
linktree - https://linktr.ee/dollysadnani 

hey peeps! Thanks for joining ❤️and  Welcome to my channel Miss Senorita
first, I would love"
2026-03-17,YouTube,ND9KBxg4DzQ,FULL LOBBY DOMINATE IN JINI EVENT😍| BGMI LIVE | #bgmi #shorts  #pubgmobile #handcam,Masoom Gaming,https://www.youtube.com/watch?v=ND9KBxg4DzQ,11419,134,0,2026-03-17T04:41:13Z,13308,https://i.ytimg.com/vi/ND9KBxg4DzQ/hqdefault.jpg,"FULL LOBBY DOMINATE IN JINI EVENT😍| BGMI LIVE | #bgmi #shorts  #pubgmobile #handcam
Device - IPAD PRO M4
Headphones - RAZER BLACKSHARK V2X USB
Screen mirror - Douwan vip
.............................."
2026-03-17,YouTube,UcVQxRZ06h0,🔴LIVE BGMI |Guyss Ajj Tehelka Hoga #bgmi #gameplay  #livestream,AndhaPaisaLive,https://www.youtube.com/watch?v=UcVQxRZ06h0,10309,123,0,2026-03-17T04:40:32Z,13074,https://i.ytimg.com/vi/UcVQxRZ06h0/hqdefault.jpg,"Welcome back! 🎮
🔥
2 din ke baad naya event ayega guyssss❤️❤️

🔥 What’s Happening Today:
🎯 Goal: Reaching--- 2000 subs❤️

🔫 Challenge: M249 & Shortgun Only / 20+ Kill Challenge

💬 Interaction: Q&A with"
2026-03-17,YouTube,k2B6UiojJJo,PRE ORDER CANCEL ? | Bgmi 4.3 Play Store Update | Next Ultimate Outfit Bgmi | Bgmi New Update ,Techno Afroz,https://www.youtube.com/watch?v=k2B6UiojJJo,10161,1853,150,2026-03-17T03:00:46Z,449,https://i.ytimg.com/vi/k2B6UiojJJo/hqdefault.jpg,"PRE ORDER CANCEL ? | Bgmi 4.3 Play Store Update | Next Ultimate Outfit Bgmi | Bgmi New Update

AA JAAO TELEGRAM Me :- https://t.me/GkAfroz


Instagram :- https://instagram.com/gk_afroz/




About Vide"
2026-03-17,YouTube,jK-N58b32XQ,🔴 LIVE PUBG Mobile | Clutch Gameplay #live #pubgmobile #bgmi,Tufan x yt,https://www.youtube.com/watch?v=jK-N58b32XQ,10136,55,0,2026-03-17T03:27:08Z,9243,https://i.ytimg.com/vi/jK-N58b32XQ/hqdefault.jpg,"Pubg live stream! #bgmi #pubgmobile #gaming #livestreaming #live 

My game id: 51987723584"
